phase_margin,conventional_delta_mean,conventional_delta_sd,uvif_delta_mean,uvif_delta_sd
0.01,0.0001807842671062191,0.00012081961996143598,,
0.02,0.0,0.0,,
0.03,-0.00014124697799941977,0.00010685093914613039,,
0.05,-0.0004946089591360786,0.00016556757508490345,,
