model,mean_eta_c,sd_eta_c,mean_ci_width,valid_boundary_count
Finite-key margin,0.06542526909303976,0.012590532927206027,0.0012491553862091734,32
Full UVIF,0.013677398100471447,0.003671427583475185,0.0005929981953438187,5
QBER only,0.07332196328695696,0.010805641767725286,0.0012955137285223651,32
UVIF without resource,0.013947808202189344,0.0035472266014218773,0.0006281960039895739,5
