shots,attack,drift,eta_c_conventional_psecure50,eta_c_uvif_pstable50,eta_c_uvif_score50,mean_resource_force,mean_n_eff
2000,0.05,0.005,0.08147368421052631,,,1.2524579279982868,1971.0
2000,0.1,0.005,0.0783421052631579,,,1.2628141110071025,1953.0
2000,0.15,0.005,0.07623076923076923,,,1.2733144649015777,1935.0
2000,0.2,0.005,0.07416666666666666,,,1.2839623660917723,1917.0
2000,0.25,0.005,0.07066666666666667,,,1.2947613027383809,1899.0
2000,0.3,0.005,0.06833333333333334,,,1.3057148795535816,1881.0
2000,0.35,0.005,0.06468750000000001,,,1.3168268228563862,1863.0
2000,0.4,0.005,0.06224074074074074,,,1.3281009858985946,1845.0
2000,0.05,0.01,0.0772608695652174,,,1.2587697572631278,1960.0
2000,0.1,0.01,0.07284090909090908,,,1.2692136494882282,1942.0
2000,0.15,0.01,0.069,,,1.2798037629377654,1924.0
2000,0.2,0.01,0.06857894736842106,,,1.2905435417568802,1906.0
2000,0.25,0.01,0.06561111111111112,,,1.3014365447458085,1888.0
2000,0.3,0.01,0.06202272727272727,,,1.3124864503144011,1870.0
2000,0.35,0.01,0.059875000000000005,,,1.3236970617008659,1852.0
2000,0.4,0.01,0.05632352941176471,,,1.3350723124715216,1834.0
2000,0.05,0.02,0.06538235294117647,,,1.2715542521212735,1938.0
2000,0.1,0.02,0.06270588235294118,,,1.2821773229381925,1920.0
2000,0.15,0.02,0.06154545454545455,,,1.2929508398902765,1902.0
2000,0.2,0.02,0.05772727272727273,,,1.3038783879204578,1884.0
2000,0.25,0.02,0.05454545454545455,,,1.3149636727175966,1866.0
2000,0.3,0.02,0.052145833333333336,,,1.3262105259961774,1848.0
2000,0.35,0.02,0.04820833333333333,,,1.337622911060922,1830.0
2000,0.4,0.02,0.045000000000000005,,,1.3492049286746979,1812.0
2000,0.05,0.03,0.05413888888888889,,,1.2845583119247692,1916.0
2000,0.1,0.03,0.051533333333333334,,,1.2953657440244422,1898.0
2000,0.15,0.03,0.04992592592592593,,,1.306328020072213,1880.0
2000,0.2,0.03,0.046925,,,1.3174488732966079,1862.0
2000,0.25,0.03,0.043090909090909096,,,1.328732164163112,1844.0
2000,0.3,0.03,0.03975,,,1.3401818860045451,1826.0
2000,0.35,0.03,0.03673611111111111,,,1.3518021709589934,1808.0
2000,0.4,0.03,0.03557692307692308,,,1.3635972962353269,1790.0
5000,0.05,0.005,0.08524999999999999,,,0.42450720574547424,4928.0
5000,0.1,0.005,0.08364583333333332,,,0.43120258660904737,4882.0
5000,0.15,0.005,0.08,,,0.43769601176347256,4838.0
5000,0.2,0.005,0.07690384615384616,,,0.44457999164246914,4792.0
5000,0.25,0.005,0.07408620689655172,,,0.45125806040035515,4748.0
5000,0.3,0.005,0.07193478260869565,,,0.458339662946301,4702.0
5000,0.35,0.005,0.0695,,,0.46521129504092334,4658.0
5000,0.4,0.005,0.06568181818181819,,,0.4723405481714225,4613.0
5000,0.05,0.01,0.08067741935483871,,,0.4285714285714286,4900.0
5000,0.1,0.01,0.07665909090909091,,,0.4351767259851572,4855.0
5000,0.15,0.01,0.074575,,,0.4418745018211814,4810.0
5000,0.2,0.01,0.07189473684210526,,,0.44866693434814825,4765.0
5000,0.25,0.01,0.06870454545454546,,,0.45555627434895474,4720.0
5000,0.3,0.01,0.0655625,,,0.46254484825426123,4675.0
5000,0.35,0.01,0.06330769230769231,,,0.46963506144311035,4630.0
5000,0.4,0.01,0.06075,,,0.47682940172128235,4585.0
5000,0.05,0.02,0.06908,,,0.43665705306871855,4845.0
5000,0.1,0.02,0.06677777777777778,,,0.4433756729740645,4800.0
5000,0.15,0.02,0.06351612903225806,,,0.45018944336986844,4755.0
5000,0.2,0.02,0.06021153846153846,,,0.45710063157312,4710.0
5000,0.25,0.02,0.05725,,,0.46411158126723967,4665.0
5000,0.3,0.02,0.054203703703703705,,,0.47122471584124914,4620.0
5000,0.35,0.02,0.05248275862068966,,,0.4784425419091459,4575.0
5000,0.4,0.02,0.049620000000000004,,,0.48576765302108965,4530.0
5000,0.05,0.03,0.05716666666666667,,,0.44488154263033636,4790.0
5000,0.1,0.03,0.05475,,,0.4517167628488536,4745.0
5000,0.15,0.03,0.052777777777777785,,,0.4586499149789454,4700.0
5000,0.2,0.03,0.049725000000000005,,,0.4656833601216487,4655.0
5000,0.25,0.03,0.04652173913043479,,,0.4728195398497141,4610.0
5000,0.3,0.03,0.0441923076923077,,,0.48006097976857537,4565.0
5000,0.35,0.03,0.04077586206896552,,,0.4874102932718243,4520.0
5000,0.4,0.03,0.03877777777777778,,,0.4948701855038715,4475.0
10000,0.05,0.005,0.08812903225806451,,0.019140362436604014,0.007329808692499107,9855.0
10000,0.1,0.005,0.08478947368421053,,0.014666226038952127,0.011961234531527198,9765.0
10000,0.15,0.005,0.08170512820512821,,0.010291240362674516,0.0166571355506977,9675.0
10000,0.2,0.005,0.07875806451612903,,,0.021419021726492682,9585.0
10000,0.25,0.005,0.07607575757575757,,,0.02624845301179879,9495.0
10000,0.3,0.005,0.0739625,,,0.03114704148291003,9405.0
10000,0.35,0.005,0.07071153846153846,,,0.03611645360034865,9315.0
10000,0.4,0.005,0.06743181818181819,,,0.04115841259070694,9225.0
10000,0.05,0.01,0.08199999999999999,,0.013880038671047827,0.010152544552210818,9800.0
10000,0.1,0.01,0.07902,,,0.014823195145212242,9710.0
10000,0.15,0.01,0.07627419354838709,,,0.01955923785773206,9620.0
10000,0.2,0.01,0.07416666666666666,,,0.024362212958302765,9530.0
10000,0.25,0.01,0.07076388888888889,,,0.029233711990772848,9440.0
10000,0.3,0.01,0.06851562500000001,,,0.03417537999003839,9350.0
10000,0.35,0.01,0.06502777777777778,,,0.03918891781593148,9260.0
10000,0.4,0.01,0.06169230769230769,,,0.044276084612790534,9170.0
10000,0.05,0.02,0.07013636363636364,,,0.01586994446437262,9690.0
10000,0.1,0.02,0.06796875000000001,,,0.0206207261596576,9600.0
10000,0.15,0.02,0.06535185185185186,,,0.025438789411978746,9510.0
10000,0.2,0.02,0.06260606060606061,,,0.030325737456554425,9420.0
10000,0.25,0.02,0.060069444444444446,,,0.03528322752782431,9330.0
10000,0.3,0.02,0.05686111111111111,,,0.04031297322059866,9240.0
10000,0.35,0.02,0.054000000000000006,,,0.045416746978633515,9150.0
10000,0.4,0.02,0.05143243243243244,,,0.05059638271883384,9060.0
10000,0.05,0.03,0.059145833333333335,,,0.021685536805190475,9580.0
10000,0.1,0.03,0.057055555555555554,,,0.026518767372607277,9490.0
10000,0.15,0.03,0.0541,,,0.0314212462587935,9400.0
10000,0.2,0.03,0.05118333333333334,,,0.03639464301430253,9310.0
10000,0.25,0.03,0.04896666666666667,,,0.041440684091783364,9220.0
10000,0.3,0.03,0.044708333333333336,,,0.04656115536396532,9130.0
10000,0.35,0.03,0.042520833333333334,,,0.05175790477917808,9040.0
10000,0.4,0.03,0.039705128205128205,,,0.0570328451633799,8950.0
20000,0.05,0.005,0.08882608695652174,,0.019548501594835736,0.0,19710.0
20000,0.1,0.005,0.0859111111111111,,0.015413230290950116,0.0,19530.0
20000,0.15,0.005,0.08307575757575757,,0.011173088329885113,0.0,19350.0
20000,0.2,0.005,0.08046052631578947,,,0.0,19170.0
20000,0.25,0.005,0.07782222222222222,,,0.0,18990.0
