eta,attack,drift,shots,p_conventional_secure,p_uvif_stable,finite_key_margin_mean,uvif_score_mean,resource_force_mean,n_eff_mean
0.01,0.05,0.005,2000,1.0,0.0,0.5653991549749688,0.35788356918228414,1.2524579279982861,1971.0
0.0135,0.05,0.005,2000,1.0,0.0,0.5413779902311152,0.34930228471832175,1.2524579279982861,1971.0
0.017,0.05,0.005,2000,1.0,0.0,0.504191970892854,0.33576995366416346,1.2524579279982861,1971.0
0.0205,0.05,0.005,2000,1.0,0.0,0.4824256683699371,0.3277325331430534,1.2524579279982861,1971.0
0.024,0.05,0.005,2000,1.0,0.0,0.4386002291323889,0.31148000876140375,1.2524579279982861,1971.0
0.027500000000000004,0.05,0.005,2000,1.0,0.0,0.4139864050330841,0.30228216480597664,1.2524579279982861,1971.0
0.031,0.05,0.005,2000,1.0,0.0,0.37816226872553804,0.28887901554181744,1.2524579279982861,1971.0
0.0345,0.05,0.005,2000,1.0,0.0,0.35681015407531425,0.2808489961192423,1.2524579279982861,1971.0
0.038,0.05,0.005,2000,1.0,0.0,0.3223137354848092,0.26793734263122654,1.2524579279982861,1971.0
0.0415,0.05,0.005,2000,1.0,0.0,0.2940210812113977,0.25738755262326396,1.2524579279982861,1971.0
0.045000000000000005,0.05,0.005,2000,1.0,0.0,0.2685198914907033,0.24793510191494872,1.2524579279982861,1971.0
0.0485,0.05,0.005,2000,1.0,0.0,0.23659762416380453,0.23620458506225467,1.2524579279982861,1971.0
0.052000000000000005,0.05,0.005,2000,1.0,0.0,0.21057107586118615,0.22676921854172014,1.2524579279982861,1971.0
0.0555,0.05,0.005,2000,1.0,0.0,0.18613203973241693,0.21799895864385793,1.2524579279982861,1971.0
0.059000000000000004,0.05,0.005,2000,0.9875,0.0,0.1571409975337664,0.20782631416202296,1.2524579279982861,1971.0
0.0625,0.05,0.005,2000,1.0,0.0,0.12877689674600107,0.19787206357216766,1.2524579279982861,1971.0
0.066,0.05,0.005,2000,0.9875,0.0,0.10391811760681144,0.18943928574667085,1.2524579279982861,1971.0
0.0695,0.05,0.005,2000,0.975,0.0,0.09090131868281895,0.18508236662730446,1.2524579279982861,1971.0
0.073,0.05,0.005,2000,0.8625,0.0,0.057785224747944786,0.17421966427040073,1.2524579279982861,1971.0
0.0765,0.05,0.005,2000,0.825,0.0,0.037232936648436146,0.16758688076478462,1.2524579279982861,1971.0
0.08,0.05,0.005,2000,0.6,0.0,0.011445173007589205,0.15954527647255828,1.2524579279982861,1971.0
0.08349999999999999,0.05,0.005,2000,0.3625,0.0,-0.007196807540040856,0.15378509590496575,1.2524579279982861,1971.0
0.087,0.05,0.005,2000,0.2375,0.0,-0.02876977321922248,0.14735578013485723,1.2524579279982861,1971.0
0.0905,0.05,0.005,2000,0.1125,0.0,-0.04799828140571734,0.14166367326595183,1.2524579279982861,1971.0
0.094,0.05,0.005,2000,0.0875,0.0,-0.06821999067723976,0.13599761929157786,1.2524579279982861,1971.0
0.0975,0.05,0.005,2000,0.025,0.0,-0.09151631574187173,0.12942408232637576,1.2524579279982861,1971.0
0.10099999999999999,0.05,0.005,2000,0.0125,0.0,-0.1083420307186143,0.12482237344625288,1.2524579279982861,1971.0
0.1045,0.05,0.005,2000,0.0,0.0,-0.13642721525504636,0.1174812615490505,1.2524579279982861,1971.0
0.108,0.05,0.005,2000,0.0,0.0,-0.15026223231574432,0.11407842854240839,1.2524579279982861,1971.0
0.1115,0.05,0.005,2000,0.0,0.0,-0.1678383435706047,0.10955930499290296,1.2524579279982861,1971.0
0.11499999999999999,0.05,0.005,2000,0.0,0.0,-0.19484645379783308,0.10302529331608823,1.2524579279982861,1971.0
0.1185,0.05,0.005,2000,0.0,0.0,-0.2084829700982791,0.09990255554788652,1.2524579279982861,1971.0
0.122,0.05,0.005,2000,0.0,0.0,-0.22168744741228838,0.0968098560013028,1.2524579279982861,1971.0
0.1255,0.05,0.005,2000,0.0,0.0,-0.24449996300671453,0.09180091413980873,1.2524579279982861,1971.0
0.129,0.05,0.005,2000,0.0,0.0,-0.26484381285381314,0.08741023922787433,1.2524579279982861,1971.0
0.1325,0.05,0.005,2000,0.0,0.0,-0.2770494712296507,0.08487610377114527,1.2524579279982861,1971.0
0.136,0.05,0.005,2000,0.0,0.0,-0.29860741649593403,0.08047486250342695,1.2524579279982861,1971.0
0.1395,0.05,0.005,2000,0.0,0.0,-0.3094728875277926,0.07832571827311827,1.2524579279982861,1971.0
0.14300000000000002,0.05,0.005,2000,0.0,0.0,-0.325970808566724,0.07518209142139462,1.2524579279982861,1971.0
0.14650000000000002,0.05,0.005,2000,0.0,0.0,-0.34970186291066546,0.07074913031249057,1.2524579279982861,1971.0
0.15000000000000002,0.05,0.005,2000,0.0,0.0,-0.3657112684822996,0.0678734360765856,1.2524579279982861,1971.0
0.15350000000000003,0.05,0.005,2000,0.0,0.0,-0.3795845653582018,0.0655284432686083,1.2524579279982861,1971.0
0.157,0.05,0.005,2000,0.0,0.0,-0.3974314026446296,0.062460563408154826,1.2524579279982861,1971.0
0.1605,0.05,0.005,2000,0.0,0.0,-0.407549944326384,0.06081673519704468,1.2524579279982861,1971.0
0.164,0.05,0.005,2000,0.0,0.0,-0.43024830117532725,0.05720443830023425,1.2524579279982861,1971.0
0.1675,0.05,0.005,2000,0.0,0.0,-0.43961713794510365,0.05578208285846466,1.2524579279982861,1971.0
0.171,0.05,0.005,2000,0.0,0.0,-0.45413803488227467,0.05355502438319733,1.2524579279982861,1971.0
0.17450000000000002,0.05,0.005,2000,0.0,0.0,-0.4646982735925623,0.052049906671345944,1.2524579279982861,1971.0
0.17800000000000002,0.05,0.005,2000,0.0,0.0,-0.4862047816648868,0.0489153625543401,1.2524579279982861,1971.0
0.18150000000000002,0.05,0.005,2000,0.0,0.0,-0.5042895589529971,0.0464725518618482,1.2524579279982861,1971.0
0.18500000000000003,0.05,0.005,2000,0.0,0.0,-0.5232964796771103,0.04391715005166637,1.2524579279982861,1971.0
0.1885,0.05,0.005,2000,0.0,0.0,-0.5326150719881049,0.042815295309884774,1.2524579279982861,1971.0
0.192,0.05,0.005,2000,0.0,0.0,-0.5495598411297482,0.04066217002443125,1.2524579279982861,1971.0
0.1955,0.05,0.005,2000,0.0,0.0,-0.55626859849833,0.03982992619079346,1.2524579279982861,1971.0
0.199,0.05,0.005,2000,0.0,0.0,-0.5645018012943956,0.03886432811742692,1.2524579279982861,1971.0
0.2025,0.05,0.005,2000,0.0,0.0,-0.5834057716350368,0.03667741632545873,1.2524579279982861,1971.0
0.20600000000000002,0.05,0.005,2000,0.0,0.0,-0.5886508247707924,0.03608689550796142,1.2524579279982861,1971.0
0.20950000000000002,0.05,0.005,2000,0.0,0.0,-0.6128441822501138,0.03338936492206241,1.2524579279982861,1971.0
0.21300000000000002,0.05,0.005,2000,0.0,0.0,-0.6170056150159737,0.03299193424215443,1.2524579279982861,1971.0
0.21650000000000003,0.05,0.005,2000,0.0,0.0,-0.6335170285637939,0.031273864163385276,1.2524579279982861,1971.0
0.22,0.05,0.005,2000,0.0,0.0,-0.6434955491218397,0.03029529591426334,1.2524579279982861,1971.0
0.01,0.1,0.005,2000,1.0,0.0,0.5562136319255263,0.34854112281219607,1.2628141110071025,1953.0
0.0135,0.1,0.005,2000,1.0,0.0,0.5151809284455955,0.3338475235728159,1.2628141110071025,1953.0
0.017,0.1,0.005,2000,1.0,0.0,0.48449190374870366,0.32269079694497876,1.2628141110071025,1953.0
0.0205,0.1,0.005,2000,1.0,0.0,0.445976602282534,0.3085530214861719,1.2628141110071025,1953.0
0.024,0.1,0.005,2000,1.0,0.0,0.42296059520043494,0.30004855742080894,1.2628141110071025,1953.0
0.027500000000000004,0.1,0.005,2000,1.0,0.0,0.38020231064243737,0.2842119272176449,1.2628141110071025,1953.0
0.031,0.1,0.005,2000,1.0,0.0,0.35747675875519674,0.2757829577817583,1.2628141110071025,1953.0
0.0345,0.1,0.005,2000,1.0,0.0,0.32125374494614717,0.26238156961928183,1.2628141110071025,1953.0
0.038,0.1,0.005,2000,1.0,0.0,0.2986274194805282,0.254054348411833,1.2628141110071025,1953.0
0.0415,0.1,0.005,2000,1.0,0.0,0.27340584905958065,0.24482252850177488,1.2628141110071025,1953.0
0.045000000000000005,0.1,0.005,2000,1.0,0.0,0.2518707039451875,0.23700013310233742,1.2628141110071025,1953.0
0.0485,0.1,0.005,2000,1.0,0.0,0.21470141325312658,0.2236396243423279,1.2628141110071025,1953.0
0.052000000000000005,0.1,0.005,2000,1.0,0.0,0.1861196900251693,0.21351188973161034,1.2628141110071025,1953.0
0.0555,0.1,0.005,2000,1.0,0.0,0.17091923046981541,0.20821434162027871,1.2628141110071025,1953.0
0.059000000000000004,0.1,0.005,2000,1.0,0.0,0.14328678469890538,0.1986697328370997,1.2628141110071025,1953.0
0.0625,0.1,0.005,2000,1.0,0.0,0.12042293060939499,0.19090897242786115,1.2628141110071025,1953.0
0.066,0.1,0.005,2000,0.9875,0.0,0.08865583859370904,0.18042704837007095,1.2628141110071025,1953.0
0.0695,0.1,0.005,2000,0.95,0.0,0.06828449825290042,0.17378018697717912,1.2628141110071025,1953.0
0.073,0.1,0.005,2000,0.8875,0.0,0.04980196474680782,0.16787212751174765,1.2628141110071025,1953.0
0.0765,0.1,0.005,2000,0.625,0.0,0.01814927125066108,0.15802738211365272,1.2628141110071025,1953.0
0.08,0.1,0.005,2000,0.3875,0.0,-0.0014114697708933143,0.1521313074736506,1.2628141110071025,1953.0
0.08349999999999999,0.1,0.005,2000,0.35,0.0,-0.01852891270790999,0.14705734131644763,1.2628141110071025,1953.0
0.087,0.1,0.005,2000,0.1125,0.0,-0.04548280619319879,0.13929639382572148,1.2628141110071025,1953.0
0.0905,0.1,0.005,2000,0.05,0.0,-0.06946569853668039,0.13252811787531085,1.2628141110071025,1953.0
0.094,0.1,0.005,2000,0.025,0.0,-0.08298956800037835,0.12880988855851233,1.2628141110071025,1953.0
0.0975,0.1,0.005,2000,0.0,0.0,-0.10702177477357452,0.12238233748333305,1.2628141110071025,1953.0
0.10099999999999999,0.1,0.005,2000,0.0,0.0,-0.13236921441281801,0.11584784204194801,1.2628141110071025,1953.0
0.1045,0.1,0.005,2000,0.0,0.0,-0.1419125291118864,0.11337742219656104,1.2628141110071025,1953.0
0.108,0.1,0.005,2000,0.0,0.0,-0.1721947810229652,0.10595068571933816,1.2628141110071025,1953.0
0.1115,0.1,0.005,2000,0.0,0.0,-0.18504897064311324,0.10296132064030865,1.2628141110071025,1953.0
0.11499999999999999,0.1,0.005,2000,0.0,0.0,-0.2057200130106303,0.09813357542072695,1.2628141110071025,1953.0
0.1185,0.1,0.005,2000,0.0,0.0,-0.22369746655153527,0.09411209652963048,1.2628141110071025,1953.0
0.122,0.1,0.005,2000,0.0,0.0,-0.24528879161197578,0.08940981976914789,1.2628141110071025,1953.0
0.1255,0.1,0.005,2000,0.0,0.0,-0.2653552911341923,0.08525741583443079,1.2628141110071025,1953.0
0.129,0.1,0.005,2000,0.0,0.0,-0.2754296293297192,0.08313939483003252,1.2628141110071025,1953.0
0.1325,0.1,0.005,2000,0.0,0.0,-0.2930591192834525,0.07962905036857089,1.2628141110071025,1953.0
0.136,0.1,0.005,2000,0.0,0.0,-0.3162024960190716,0.07518178100966327,1.2628141110071025,1953.0
0.1395,0.1,0.005,2000,0.0,0.0,-0.3353933821304972,0.07160722955292895,1.2628141110071025,1953.0
0.14300000000000002,0.1,0.005,2000,0.0,0.0,-0.34973508448952184,0.06899721516687211,1.2628141110071025,1953.0
0.14650000000000002,0.1,0.005,2000,0.0,0.0,-0.3628890970554694,0.0667644083078571,1.2628141110071025,1953.0
0.15000000000000002,0.1,0.005,2000,0.0,0.0,-0.3798279795360607,0.0637976947191343,1.2628141110071025,1953.0
0.15350000000000003,0.1,0.005,2000,0.0,0.0,-0.39782170196749267,0.060907268518476054,1.2628141110071025,1953.0
0.157,0.1,0.005,2000,0.0,0.0,-0.4129483839148932,0.058484996776369334,1.2628141110071025,1953.0
0.1605,0.1,0.005,2000,0.0,0.0,-0.4293500801651137,0.05592852553589138,1.2628141110071025,1953.0
0.164,0.1,0.005,2000,0.0,0.0,-0.4451131612992139,0.05353445179551204,1.2628141110071025,1953.0
0.1675,0.1,0.005,2000,0.0,0.0,-0.45485841166823027,0.05213353949203893,1.2628141110071025,1953.0
0.171,0.1,0.005,2000,0.0,0.0,-0.47781615459705173,0.04885901398672904,1.2628141110071025,1953.0
0.17450000000000002,0.1,0.005,2000,0.0,0.0,-0.4928475866237843,0.04679401722815184,1.2628141110071025,1953.0
0.17800000000000002,0.1,0.005,2000,0.0,0.0,-0.4988762572348978,0.04602259180621547,1.2628141110071025,1953.0
0.18150000000000002,0.1,0.005,2000,0.0,0.0,-0.510538583528293,0.04447138015983641,1.2628141110071025,1953.0
0.18500000000000003,0.1,0.005,2000,0.0,0.0,-0.527164028956192,0.04241495386123302,1.2628141110071025,1953.0
0.1885,0.1,0.005,2000,0.0,0.0,-0.5426272713847604,0.040487690662911656,1.2628141110071025,1953.0
0.192,0.1,0.005,2000,0.0,0.0,-0.5588998708611902,0.0385442505721713,1.2628141110071025,1953.0
0.1955,0.1,0.005,2000,0.0,0.0,-0.5752437221577889,0.03666295929541733,1.2628141110071025,1953.0
0.199,0.1,0.005,2000,0.0,0.0,-0.5775050291352362,0.03641651654931799,1.2628141110071025,1953.0
0.2025,0.1,0.005,2000,0.0,0.0,-0.5907974766980553,0.03491459541258119,1.2628141110071025,1953.0
0.20600000000000002,0.1,0.005,2000,0.0,0.0,-0.6051252406658143,0.03342368339868305,1.2628141110071025,1953.0
0.20950000000000002,0.1,0.005,2000,0.0,0.0,-0.6166834379842498,0.03221761930472759,1.2628141110071025,1953.0
0.21300000000000002,0.1,0.005,2000,0.0,0.0,-0.6238133534647883,0.03146432728350417,1.2628141110071025,1953.0
0.21650000000000003,0.1,0.005,2000,0.0,0.0,-0.6424986937123537,0.029608297909913317,1.2628141110071025,1953.0
0.22,0.1,0.005,2000,0.0,0.0,-0.6569412774212223,0.028245680345838086,1.2628141110071025,1953.0
0.01,0.15,0.005,2000,1.0,0.0,0.5200779873480721,0.32969202077238685,1.273314464901578,1935.0
0.0135,0.15,0.005,2000,1.0,0.0,0.4906246738760004,0.31913938617697496,1.273314464901578,1935.0
0.017,0.15,0.005,2000,1.0,0.0,0.44900864408832974,0.30401349919938786,1.273314464901578,1935.0
0.0205,0.15,0.005,2000,1.0,0.0,0.42891617567624707,0.29665833009432957,1.273314464901578,1935.0
0.024,0.15,0.005,2000,1.0,0.0,0.39195326671381203,0.2831389743959326,1.273314464901578,1935.0
0.027500000000000004,0.15,0.005,2000,1.0,0.0,0.3663736595165821,0.2737549669053484,1.273314464901578,1935.0
0.031,0.15,0.005,2000,1.0,0.0,0.3261723474096888,0.2590735870729014,1.273314464901578,1935.0
0.0345,0.15,0.005,2000,1.0,0.0,0.2987002695753481,0.2490735816845918,1.273314464901578,1935.0
0.038,0.15,0.005,2000,1.0,0.0,0.27333210527580176,0.23993368999614115,1.273314464901578,1935.0
0.0415,0.15,0.005,2000,1.0,0.0,0.23927109520547862,0.2277398951225953,1.273314464901578,1935.0
0.045000000000000005,0.15,0.005,2000,1.0,0.0,0.22041380696793195,0.22110656887960795,1.273314464901578,1935.0
0.0485,0.15,0.005,2000,1.0,0.0,0.19671651646800742,0.21278225156834737,1.273314464901578,1935.0
0.052000000000000005,0.15,0.005,2000,1.0,0.0,0.17476050986879677,0.20522343856552636,1.273314464901578,1935.0
0.0555,0.15,0.005,2000,1.0,0.0,0.15432699044911752,0.19821490213447637,1.273314464901578,1935.0
0.059000000000000004,0.15,0.005,2000,1.0,0.0,0.11255956679733728,0.18427922496489352,1.273314464901578,1935.0
0.0625,0.15,0.005,2000,1.0,0.0,0.10201698700520093,0.18086136064832403,1.273314464901578,1935.0
0.066,0.15,0.005,2000,0.9375,0.0,0.07807928295737229,0.17317358137611308,1.273314464901578,1935.0
