eta,attack,drift,shots,qber_obs_mean,qber_obs_sd,n_eff_mean,finite_key_margin_mean,finite_key_margin_sd,psi_mean,p_conventional_secure,p_conventional_transition,p_conventional_insecure,uvif_energy_mean,uvif_energy_sd,uvif_score_mean,p_uvif_stable,p_uvif_transition,p_uvif_unstable,risk_force_mean,uncertainty_force_mean,complexity_force_mean,resource_force_mean,leakage_force_mean,stability_reward_mean
0.01,0.05,0.005,10000,0.026646372399797055,0.0016437862656284773,9855.0,0.6126397409692648,0.01704975009072985,5.56945219062968,1.0,0.0,0.0,-0.14377017351014398,0.025669020150276375,0.535875007834049,0.0,1.0,0.0,0.24223974908906418,0.010481968065108333,0.003899997183550016,0.007329808692499107,0.05698477929984779,0.5458723733830155
0.0135,0.05,0.005,10000,0.030486047691527143,0.0016314858742773307,9855.0,0.5735409696420054,0.016283071221153873,5.214008814927322,1.0,0.0,0.0,-0.08376171372725384,0.025512258661156195,0.5209248580010474,0.0,1.0,0.0,0.27714588810479224,0.011569114326716725,0.00390375045679022,0.007329808692499107,0.059864535768645345,0.5178555853914164
0.017,0.05,0.005,10000,0.03376864535768645,0.001724276663773193,9855.0,0.5412848925174679,0.01674148667812182,4.920771750158799,1.0,0.0,0.0,-0.03245351634475783,0.02691731981788556,0.5081110807660265,0.0,1.0,0.0,0.3069876850698769,0.012463298505904488,0.0038949440636449157,0.007329808692499107,0.06232648401826485,0.4938562618943123
0.0205,0.05,0.005,10000,0.03760832064941654,0.0018966367758924602,9855.0,0.5047673380809712,0.017720737494300757,4.588793982554283,1.0,0.0,0.0,0.027600437064479164,0.02968614391732334,0.4931019490326722,0.0,1.0,0.0,0.3418938240856048,0.013473068030602225,0.003960578386605783,0.007329808692499107,0.06520624048706242,0.46574487426939387
0.024,0.05,0.005,10000,0.04117503805175038,0.0025445644237648154,9855.0,0.4719861379393238,0.023131197090533673,4.29078307217567,1.0,0.0,0.0,0.08341714482891482,0.039788930759146926,0.479165929408869,0.0,1.0,0.0,0.3743185277431853,0.014377312371925861,0.0041183110350640146,0.007329808692499107,0.06788127853881279,0.43961479123762054
0.027500000000000004,0.05,0.005,10000,0.044531709791983766,0.0020451003680261944,9855.0,0.4418048792274611,0.018073275931550913,4.0164079929769185,1.0,0.0,0.0,0.13580524237884348,0.03196573986181047,0.46610943221737566,0.0,1.0,0.0,0.4048337253816705,0.015208622468973471,0.003993759512937594,0.007329808692499107,0.07039878234398783,0.4150284311748071
0.031,0.05,0.005,10000,0.047727042110603746,0.0017971726171311382,9855.0,0.4138371731365131,0.015539731365773588,3.7621561194228472,1.0,0.0,0.0,0.1856747228820527,0.02801831869273302,0.4537230776512394,0.0,1.0,0.0,0.4338822010054887,0.015977646726644857,0.003951584398613129,0.007329808692499107,0.07279528158295283,0.3916465674469867
0.0345,0.05,0.005,10000,0.05124099441907662,0.0021861866856479964,9855.0,0.3839089434283467,0.018402274690543702,3.4900813038940606,1.0,0.0,0.0,0.24051792202486447,0.03406049981890981,0.4401757327782325,0.0,1.0,0.0,0.4658272219916056,0.01679925701788453,0.004050689877952374,0.007329808692499107,0.07543074581430748,0.3659911659192592
0.038,0.05,0.005,10000,0.05499644850329781,0.002164120911559346,9855.0,0.35268053651296016,0.017755032757931798,3.2061866955723644,1.0,0.0,0.0,0.29898847721126454,0.03367927207592551,0.4258251960259102,0.0,1.0,0.0,0.4999677136663438,0.017655422762781557,0.004028287214724683,0.007329808692499107,0.07824733637747337,0.33865712025002964
0.0415,0.05,0.005,10000,0.05822425164890918,0.00218747174156574,9855.0,0.3264737594407856,0.017567133202182325,2.967943267643505,1.0,0.0,0.0,0.34915324119825086,0.03395350140315463,0.4136117292480781,0.0,1.0,0.0,0.5293113786264473,0.01837301104098971,0.004013367655617341,0.007329808692499107,0.0806681887366819,0.3152620357671051
