scenario,t,qber_mean,qber_q05,qber_q50,qber_q95,psi_mean,psi_q05,psi_q50,psi_q95,uvif_score_mean,uvif_score_q05,uvif_score_q50,uvif_score_q95,early_warning_mean,early_warning_q95,p_conventional_secure,p_uvif_stable
secure_reference,0,0.046536309036309044,0.04279279279279279,0.04688779688779689,0.049605855855855856,3.8185588034585964,3.57684123100441,3.7894555751970405,4.118051722786152,0.4532083555787852,0.4412963254765143,0.4518810846311412,0.46766754594261706,0.06553924362298898,0.24528888585215888,1.0,0.0
secure_reference,1,0.047397397397397394,0.044671375921375926,0.046938984438984435,0.050537469287469286,3.75047184799709,3.504930176946488,3.785412958925834,3.9660384308915204,0.449879545429574,0.43769588601044457,0.4516905945099642,0.46040911421963476,0.03185840667702475,0.11775443957945872,1.0,0.0
secure_reference,2,0.04737350987350987,0.04427211302211302,0.047092547092547093,0.05098280098280098,3.752408705387212,3.470714146621936,3.773291249095641,3.9981570628502783,0.44997034344015313,0.4359842876781649,0.45108811038782454,0.4619340125202736,0.029606303130331597,0.11565370944301596,1.0,0.0
secure_reference,3,0.04797866047866048,0.04391891891891892,0.048013923013923016,0.05197072072072072,3.705407789481636,3.3952125428053774,3.700853585923136,4.02665688105799,0.44763009837205425,0.43217823390794485,0.44752838751389573,0.4632822407095055,0.03208015572552458,0.11840507975526837,1.0,0.0
secure_reference,4,0.04812881062881063,0.044763513513513514,0.048013923013923016,0.05292792792792793,3.6933919637105275,3.3225416480782193,3.700853585923136,3.958651624699121,0.4470501256548446,0.42849984433996835,0.44753017438221926,0.46001461547077455,0.03283827530585305,0.12495425965971604,1.0,0.0
secure_reference,5,0.04893074893074893,0.04456900081900082,0.04908886158886159,0.05257473382473382,3.6309670379453314,3.349298174721064,3.616958873582944,3.9742662520400165,0.44395350022672575,0.4298736734071724,0.4433707770951343,0.4607506306255604,0.03200451249903383,0.11693730326731658,1.0,0.0
secure_reference,6,0.04872144872144872,0.044886363636363634,0.04862817362817363,0.05257473382473382,3.647089748253355,3.349298174721064,3.652833025360779,3.9487746116266824,0.4447628758803541,0.4298864189263581,0.44515348210974587,0.45951539494982624,0.025774151573980338,0.10699635452293062,1.0,0.0
secure_reference,7,0.04923218673218673,0.04610462735462736,0.04919123669123669,0.05262080262080262,3.6070724579895517,3.3458038824280494,3.6090029084610484,3.851519046952293,0.4428001624768794,0.4297213929708314,0.44298850683658575,0.45481643433296237,0.03411864979631969,0.10610413047666574,1.0,0.0
secure_reference,8,0.05000796250796251,0.046309377559377564,0.050266175266175266,0.053245290745290746,3.5470147078151664,3.2985585583170174,3.5258172377880688,3.835260012528484,0.4398115995428924,0.42732867072677716,0.4388375870718713,0.45401721808596884,0.03063261043948838,0.11047043793737336,1.0,0.0
secure_reference,9,0.050144462644462644,0.046933865683865685,0.05006142506142506,0.053644553644553644,3.5364494233887607,3.2684545935915956,3.5416126409245052,3.7858172205529543,0.43928826292422546,0.42580519982838994,0.4396426681417074,0.4516071854486775,0.020029242399824614,0.09702035058614143,1.0,0.0
secure_reference,10,0.05005801255801256,0.04703624078624079,0.05006142506142506,0.05315315315315315,3.542806957170095,3.305524881059776,3.5416126409245052,3.777734750553083,0.4396216237549193,0.4277074809326327,0.4396306922133218,0.4512023433330995,0.026598188597293435,0.08629443548197117,1.0,0.0
secure_reference,11,0.05053803803803803,0.047445741195741194,0.050573300573300575,0.05370085995085995,3.5060336597361217,3.2642168532522686,3.5021701583785267,3.7454660769417654,0.43777403122903913,0.42561229663055394,0.4376685035492853,0.44962011678553454,0.03187001951226369,0.10937704498644178,1.0,0.0
secure_reference,12,0.05108631358631359,0.0476504914004914,0.050778050778050775,0.05477067977067977,3.4640682012599675,3.183995504771553,3.4864293136785074,3.7293682880325707,0.4356708909992859,0.4215183473071119,0.4368775068873001,0.4488238851953815,0.031099282459390275,0.11625586293467031,1.0,0.0
secure_reference,13,0.051590226590226586,0.04800368550368551,0.051597051597051594,0.05548730548730549,3.4255928125935577,3.1305841605581928,3.423704670860305,3.701658733180154,0.43373936537954444,0.41878670011650504,0.4337435413347037,0.4474597800911484,0.024807496262293005,0.0943154056393194,1.0,0.0
secure_reference,14,0.051349076349076345,0.047706797706797706,0.0514946764946765,0.05474508599508599,3.4438556139805954,3.185924286969825,3.431528290878671,3.724944899734892,0.4346625231904812,0.42163838108622737,0.43413036944699634,0.44858620540757854,0.02928313349765266,0.11925136022315573,1.0,0.0
secure_reference,15,0.05231595231595231,0.048525798525798525,0.05210892710892711,0.05579443079443079,3.3702352239010804,3.1077724529471773,3.3846847027010383,3.6608215264075548,0.43096092694641835,0.41763399479608054,0.4317874072089164,0.4454402077992825,0.03333246832247508,0.11191022281796065,1.0,0.0
secure_reference,16,0.052596915096915095,0.049493243243243244,0.052518427518427516,0.0559531122031122,3.3486088751520167,3.096005465163033,3.3535689764125265,3.585567006175826,0.4298888626810082,0.41703796864431253,0.4302174919469279,0.44173310904369195,0.02392146400962178,0.09341852919365252,1.0,0.0
