drift,attack,eta,p_qber_only,p_finite_key_margin,p_uvif_no_resource,p_full_uvif,qber_obs_mean,finite_key_margin_mean,uvif_score_no_resource_mean,uvif_score_full_mean,resource_force_mean
0.005,0.05,0.14300000000000002,0.0,0.0,0.0,0.0,0.1598792491121258,-0.3008660514580693,0.1398077849985381,0.13932377457708603,0.007329808692499107
0.005,0.05,0.14650000000000002,0.0,0.0,0.0,0.0,0.16433384069000506,-0.3219548066027359,0.13294571246157294,0.1324818172946268,0.007329808692499107
0.005,0.05,0.15000000000000002,0.0,0.0,0.0,0.0,0.16693860984271944,-0.3341007319068994,0.12908759750783488,0.12863517001522667,0.007329808692499107
0.005,0.05,0.15350000000000003,0.0,0.0,0.0,0.0,0.17089091831557585,-0.35230503752312103,0.12342143715614252,0.12298603531960366,0.007329808692499107
0.005,0.05,0.157,0.0,0.0,0.0,0.0,0.1740943683409437,-0.3667975291800106,0.11903658050560942,0.11861455274087276,0.007329808692499107
0.005,0.05,0.1605,0.0,0.0,0.0,0.0,0.17799797057331304,-0.3841587117705707,0.11392079270881038,0.1135145770321744,0.007329808692499107
0.005,0.05,0.164,0.0,0.0,0.0,0.0,0.1814175545408422,-0.39914453217737944,0.109613865672337,0.1092211089343882,0.007329808692499107
0.005,0.05,0.1675,0.0,0.0,0.0,0.0,0.18464738711314055,-0.41310275464005647,0.10569507107456416,0.10531468229119607,0.007329808692499107
0.005,0.05,0.171,0.0,0.0,0.0,0.0,0.18767021816336885,-0.42595658731787667,0.10217105973481509,0.1018019151933207,0.007329808692499107
0.005,0.05,0.17450000000000002,0.0,0.0,0.0,0.0,0.19102688990360225,-0.4399974015367376,0.09842318325720828,0.09806612126345476,0.007329808692499107
0.005,0.05,0.17800000000000002,0.0,0.0,0.0,0.0,0.19473465246067984,-0.455315499025042,0.09442296449267663,0.09407889558356264,0.007329808692499107
0.005,0.05,0.18150000000000002,0.0,0.0,0.0,0.0,0.19903399289700657,-0.4727809922274522,0.08998444251159529,0.08965493282732012,0.007329808692499107
0.005,0.05,0.18500000000000003,0.0,0.0,0.0,0.0,0.20207610350076102,-0.48492811290054244,0.08698274877397948,0.08666317736406301,0.007329808692499107
0.005,0.05,0.1885,0.0,0.0,0.0,0.0,0.20552409944190766,-0.49848740553438814,0.0837131977482338,0.0834045387356476,0.007329808692499107
0.005,0.05,0.192,0.0,0.0,0.0,0.0,0.20860375443937088,-0.5104135049504217,0.08090504731284243,0.08060583131054357,0.007329808692499107
0.005,0.05,0.1955,0.0,0.0,0.0,0.0,0.21218163368848303,-0.5240648085835642,0.07776744683676266,0.07747885635061812,0.007329808692499107
0.005,0.05,0.199,0.0,0.0,0.0,0.0,0.21545205479452054,-0.5363561460080708,0.0750069295475603,0.07472775024028794,0.007329808692499107
0.005,0.05,0.2025,0.0,0.0,0.0,0.0,0.21902080162354134,-0.5495653170271847,0.07211309980973071,0.07184385066115763,0.007329808692499107
0.005,0.05,0.20600000000000002,0.0,0.0,0.0,0.0,0.22264231354642314,-0.5627372863138933,0.06930243773005702,0.06904290118505883,0.007329808692499107
0.005,0.05,0.20950000000000002,0.0,0.0,0.0,0.0,0.22608625063419585,-0.5750565664038141,0.0667391246259488,0.06648850227680012,0.007329808692499107
0.005,0.05,0.21300000000000002,0.0,0.0,0.0,0.0,0.2299837645865043,-0.5887789884171866,0.06395459446893591,0.06371371248642144,0.007329808692499107
0.005,0.05,0.21650000000000003,0.0,0.0,0.0,0.0,0.23366108574327754,-0.6014557905045669,0.061455261159098704,0.06122318296022874,0.007329808692499107
0.005,0.05,0.22,0.0,0.0,0.0,0.0,0.23682699137493657,-0.6122005465697326,0.059385387103961546,0.05916063705810582,0.007329808692499107
0.005,0.1,0.01,1.0,1.0,1.0,1.0,0.029604710701484897,0.5822458295760152,0.5200817388881378,0.5184397477375158,0.011961234531527198
0.005,0.1,0.0135,1.0,1.0,0.79,0.76,0.03301587301587302,0.5485218168366311,0.506749979099585,0.5051059369659535,0.011961234531527198
0.005,0.1,0.017,1.0,1.0,0.15,0.08,0.036538658474142345,0.5146953634835186,0.4929921317400794,0.4913482025898715,0.011961234531527198
0.005,0.1,0.0205,1.0,1.0,0.01,0.0,0.039853558627752174,0.4838582878002772,0.48004236726368943,0.47840096411429295,0.011961234531527198
0.005,0.1,0.024,1.0,1.0,0.0,0.0,0.04361597542242704,0.44979109744189105,0.46539683766750245,0.4637607589736708,0.011961234531527198
