attack,drift,risk_force_mean,uncertainty_force_mean,complexity_force_mean,resource_force_mean,leakage_force_mean,stability_reward_mean,uvif_score_mean
0.05,0.005,1.1994729842023804,0.03011958005917436,0.004274650380515654,0.007329808692499107,0.13595652119669638,-0.09954327419394284,0.23025801255956546
0.05,0.01,1.2406259314456034,0.03083257649716423,0.007789386475385579,0.010152544552210818,0.14385163934426232,-0.1285842178046051,0.21860985404120759
0.05,0.02,1.322004186410622,0.032207265466418424,0.014836568333502593,0.01586994446437262,0.15956534537887632,-0.1852749542901685,0.19633990693831246
0.05,0.03,1.4039221054793114,0.033517406692687865,0.021858286431569084,0.021685536805190465,0.1753235737020432,-0.23951387869446286,0.17587924431865704
0.1,0.005,1.2247272910414104,0.030570483357825487,0.004296083837546852,0.011961234531527198,0.1705400015109164,-0.11393352763515117,0.22039382413282224
0.1,0.01,1.26532282695947,0.03126911716830266,0.007815251359141845,0.014823195145212242,0.17838913322415628,-0.1425468424875211,0.2090847108566064
0.1,0.02,1.3473045516641826,0.03262522854942643,0.01483987933944147,0.02062072615965761,0.1941526255122951,-0.1985446608688606,0.1875743327763669
0.1,0.03,1.4280904363994418,0.033904062100216105,0.021860880852477393,0.026518767372607287,0.20981746100295395,-0.2517636878030508,0.16792116164193
0.15,0.005,1.2496496801796078,0.03101332077807439,0.004299943137397482,0.0166571355506977,0.20509609861481765,-0.12800894626588946,0.21082188473696545
0.15,0.01,1.2905309356129029,0.0317031126588803,0.007806506714273207,0.01955923785773206,0.21296880218806452,-0.1564115461783089,0.1998353472530581
0.15,0.02,1.3726171055332765,0.033044663800138555,0.01486149516428732,0.025438789411978746,0.22874091120649534,-0.21196659977612783,0.17890585934914804
0.15,0.03,1.4537029520880236,0.03430834003324953,0.021872949718411614,0.03142124625879351,0.24443049354726196,-0.26453862251066085,0.15995727980763239
0.2,0.005,1.2747558708768592,0.03144555308026134,0.0043401536309801555,0.02141902172649267,0.23966735934734087,-0.1418306955120916,0.20162621174810394
0.2,0.01,1.3154940942634679,0.032129135262047144,0.007828711710563676,0.024362212958302754,0.24752826277673615,-0.17010630702514504,0.19086264338867553
0.2,0.02,1.3972494075135822,0.03344800736669017,0.014856744883192123,0.030325737456554425,0.26327307611987055,-0.2248379163960881,0.17068754694776198
0.2,0.03,1.4790813525190452,0.03470391117248751,0.021866178162420234,0.036394643014302515,0.2790242115828212,-0.27697340336389487,0.15232419181266502
0.25,0.005,1.2995670322995316,0.03187367951759273,0.004327360498339834,0.02624845301179878,0.2742142801647114,-0.15551618311812143,0.1926266177552764
0.25,0.01,1.340177827174215,0.03254492608253984,0.007844212708296081,0.029233711990772838,0.28206467074187275,-0.1834123752622064,0.18224121488365463
0.25,0.02,1.4222101357255013,0.03384488146810728,0.014866353576078935,0.03528322752782431,0.2978323361973539,-0.23738693172539463,0.1628269103221698
0.25,0.03,1.5032086987725122,0.03507727689063582,0.021902143402103853,0.041440684091783385,0.3135147176487323,-0.2886585044012522,0.14516344294929995
0.3,0.005,1.325173612349077,0.03231026982534991,0.004350969729168468,0.031147041482910042,0.3088268230187989,-0.16952190064369232,0.18370384012603388
0.3,0.01,1.3649581995106672,0.03295347888743286,0.00787251527888242,0.03417537999003839,0.3166090514596301,-0.1963995970913456,0.17397577026612487
0.3,0.02,1.4477877562080246,0.03425242252968062,0.014877710094083677,0.04031297322059867,0.332442489887162,-0.25029592686055785,0.15497842490597855
0.3,0.03,1.5283489193190591,0.03546055004937761,0.021908431494768708,0.046561155363965344,0.3480887858438224,-0.30060004938913765,0.13811567243377199
0.35,0.005,1.34964406078685,0.032717165605557846,0.004348879829436864,0.03611645360034865,0.3433456350149151,-0.1825006942546838,0.1754318493746418
0.35,0.01,1.390092959478294,0.03336433007169955,0.007858992238529292,0.03918891781593148,0.3511826691569592,-0.20947721071052933,0.16585183262056527
0.35,0.02,1.472039122751297,0.034628450799970296,0.01487920895914072,0.045416746978633495,0.366943227626982,-0.26209235016229904,0.14784018585728184
0.35,0.03,1.55400208380043,0.0358468748130139,0.02192669688050631,0.05175790477917808,0.3827051719135355,-0.3125732727744605,0.13126973215212703
0.4,0.005,1.3738562756715493,0.03311570724128225,0.004357843279589446,0.041158412590706954,0.37784314274290287,-0.1951924156337036,0.16749024633384288
0.4,0.01,1.415189328254026,0.033773559007212024,0.00787709262474033,0.044276084612790534,0.38575311958095715,-0.2225914651084586,0.15793463734045904
0.4,0.02,1.4974735411875788,0.03502785765935615,0.014908272765445499,0.05059638271883383,0.4015415671479753,-0.2747297703783388,0.1404909491170045
0.4,0.03,1.5795036175473944,0.03622270473361837,0.021942972487138092,0.05703284516337991,0.4173090484476601,-0.32410215256751124,0.12478993577638706
