shots,mean_eta_c_conventional,mean_eta_c_uvif,mean_eta_c_uvif_score
2000,0.05976850734806466,,
5000,0.06334257846101299,,
10000,0.0651511084468632,,0.01449446687731962
20000,0.06629785286019046,,0.014257627106939036
