model,attack,drift,eta_c_probability50,eta_c_boot_low,eta_c_boot_median,eta_c_boot_high,eta_c_ci_width,n_valid_bootstrap_boundaries
UVIF without resource,0.05,0.01,0.01455,0.014114966299019609,0.014522021943573668,0.014870068734015345,0.0007551024349957362,160
Finite-key margin,0.1,0.01,0.07908333333333334,0.07855790849673203,0.079125,0.07981554054054055,0.001257632043808521,160
Full UVIF,0.1,0.01,,0.010071428571428571,0.010071428571428571,0.010071428571428571,0.0,1
QBER only,0.1,0.01,0.08554166666666665,0.08515413926499031,0.08553,0.0860015243902439,0.0008473851252535913,160
UVIF without resource,0.1,0.01,,0.01,0.01021,0.010509124053030302,0.0005091240530303021,80
Finite-key margin,0.15,0.01,0.07607317073170732,0.07541814393939393,0.0760857843137255,0.07691911764705882,0.0015009737076648877,160
Full UVIF,0.15,0.01,,,,,,0
QBER only,0.15,0.01,0.08305128205128204,0.08238503787878787,0.08310206718346252,0.08395760869565216,0.0015725708168642938,160
UVIF without resource,0.15,0.01,,,,,,0
Finite-key margin,0.2,0.01,0.07378749999999999,0.07291238486842104,0.07378263888888889,0.07431274305555556,0.0014003581871345205,160
Full UVIF,0.2,0.01,,,,,,0
QBER only,0.2,0.01,0.08072916666666667,0.08007755681818182,0.08074468085106383,0.08120321928879311,0.0011256624706112855,160
UVIF without resource,0.2,0.01,,,,,,0
Finite-key margin,0.25,0.01,0.07047222222222223,0.0696176724137931,0.07048717948717949,0.07101433846637335,0.0013966660525802504,160
Full UVIF,0.25,0.01,,,,,,0
QBER only,0.25,0.01,0.07676923076923077,0.07596041666666666,0.07676962962962963,0.07779034495021336,0.0018299282835467084,160
UVIF without resource,0.25,0.01,,,,,,0
Finite-key margin,0.3,0.01,0.06836046511627908,0.06785255514705882,0.0683595803842265,0.06898633744038156,0.001133782293322741,160
Full UVIF,0.3,0.01,,,,,,0
QBER only,0.3,0.01,0.07482608695652174,0.0744,0.07482971014492754,0.0752373511904762,0.0008373511904762043,160
UVIF without resource,0.3,0.01,,,,,,0
Finite-key margin,0.35,0.01,0.06616279069767442,0.06541666666666666,0.06615555555555556,0.06675650813516897,0.0013398414685023008,160
Full UVIF,0.35,0.01,,,,,,0
QBER only,0.35,0.01,0.07204545454545454,0.07154118055555556,0.07202777777777777,0.07257575757575757,0.0010345770202020155,160
UVIF without resource,0.35,0.01,,,,,,0
Finite-key margin,0.4,0.01,0.06291176470588235,0.061900000000000004,0.06290032679738561,0.06372093023255813,0.0018209302325581309,160
Full UVIF,0.4,0.01,,,,,,0
QBER only,0.4,0.01,0.06883333333333334,0.06827906976744187,0.06882835515548281,0.0696247670083877,0.0013456972409458257,160
UVIF without resource,0.4,0.01,,,,,,0
Finite-key margin,0.05,0.02,0.07105555555555555,0.07060825657894738,0.0710188679245283,0.07133769886363636,0.0007294422846889775,160
Full UVIF,0.05,0.02,,,,,,0
QBER only,0.05,0.02,0.07932258064516129,0.078540625,0.07934780092592593,0.08035,0.001809375000000002,160
UVIF without resource,0.05,0.02,,,,,,0
Finite-key margin,0.1,0.02,0.06839473684210527,0.06780288697788699,0.06843497474747476,0.06927523344651952,0.001472346468632535,160
Full UVIF,0.1,0.02,,,,,,0
QBER only,0.1,0.02,0.0774891304347826,0.07702309294871794,0.0774891304347826,0.07798962765957447,0.0009665347108565314,160
UVIF without resource,0.1,0.02,,,,,,0
Finite-key margin,0.15,0.02,0.06506666666666668,0.06459969298245614,0.0650238888888889,0.06562378941441441,0.001024096431958263,160
Full UVIF,0.15,0.02,,,,,,0
QBER only,0.15,0.02,0.0743125,0.07378706249999999,0.0742875939849624,0.07468269230769231,0.0008956298076923247,160
UVIF without resource,0.15,0.02,,,,,,0
Finite-key margin,0.2,0.02,0.06240789473684211,0.0617314701897019,0.06233888888888889,0.06321875,0.0014872798102981075,160
Full UVIF,0.2,0.02,,,,,,0
QBER only,0.2,0.02,0.07121111111111111,0.070665,0.07121111111111111,0.07168775436046512,0.0010227543604651168,160
UVIF without resource,0.2,0.02,,,,,,0
Finite-key margin,0.25,0.02,0.06030232558139535,0.05971666666666667,0.06030298913043479,0.06075082547169811,0.0010341588050314446,160
Full UVIF,0.25,0.02,,,,,,0
QBER only,0.25,0.02,0.06845000000000001,0.06805545977011496,0.06841379310344828,0.06887875000000002,0.0008232902298850597,160
UVIF without resource,0.25,0.02,,,,,,0
Finite-key margin,0.3,0.02,0.05732,0.056912718023255815,0.0572948717948718,0.05775630952380953,0.0008435915005537142,160
Full UVIF,0.3,0.02,,,,,,0
QBER only,0.3,0.02,0.06523170731707317,0.06478482142857143,0.0652391304347826,0.06608788602941178,0.0013030646008403424,160
UVIF without resource,0.3,0.02,,,,,,0
Finite-key margin,0.35,0.02,0.05444186046511628,0.05389510416666667,0.05441388888888889,0.0550634375,0.0011683333333333268,160
Full UVIF,0.35,0.02,,,,,,0
QBER only,0.35,0.02,0.06366666666666666,0.06281647727272727,0.06366666666666666,0.06425,0.0014335227272727347,160
UVIF without resource,0.35,0.02,,,,,,0
Finite-key margin,0.4,0.02,0.051500000000000004,0.05096247379454927,0.05144527511961723,0.05242709603658537,0.0014646222420361052,160
Full UVIF,0.4,0.02,,,,,,0
QBER only,0.4,0.02,0.06030232558139535,0.05935875000000001,0.06031332495285984,0.060785752279635265,0.001427002279635256,160
UVIF without resource,0.4,0.02,,,,,,0
Finite-key margin,0.05,0.03,0.05954444444444445,0.058781012228260876,0.059532608695652176,0.06003717494089835,0.001256162712637475,160
Full UVIF,0.05,0.03,,,,,,0
QBER only,0.05,0.03,0.0707,0.06949756944444445,0.07072296511627907,0.07125208333333334,0.0017545138888888923,160
UVIF without resource,0.05,0.03,,,,,,0
Finite-key margin,0.1,0.03,0.057127906976744185,0.0565996551724138,0.05715880503144655,0.05758547872340426,0.0009858235509904653,160
Full UVIF,0.1,0.03,,,,,,0
QBER only,0.1,0.03,0.06802631578947368,0.06742132812500001,0.0680635026737968,0.06895774515086207,0.0015364170258620607,160
UVIF without resource,0.1,0.03,,,,,,0
Finite-key margin,0.15,0.03,0.05395192307692308,0.053555225988700564,0.05397073863636364,0.05428632142857143,0.000731095439870863,160
Full UVIF,0.15,0.03,,,,,,0
QBER only,0.15,0.03,0.06525,0.06463867753623188,0.06525923852183652,0.06591025641025641,0.0012715788740245287,160
UVIF without resource,0.15,0.03,,,,,,0
Finite-key margin,0.2,0.03,0.0520921052631579,0.0513325,0.052098611111111116,0.05280295516304349,0.001470455163043484,160
Full UVIF,0.2,0.03,,,,,,0
QBER only,0.2,0.03,0.06231081081081081,0.061607714987714994,0.062318151147098516,0.06307427325581395,0.0014665582680989594,160
UVIF without resource,0.2,0.03,,,,,,0
Finite-key margin,0.25,0.03,0.04922058823529412,0.04831566500711238,0.049253378378378385,0.0499,0.001584334992887619,160
Full UVIF,0.25,0.03,,,,,,0
QBER only,0.25,0.03,0.05942424242424243,0.05867304726996967,0.05946359649122807,0.06013257672634271,0.0014595294563730377,160
UVIF without resource,0.25,0.03,,,,,,0
Finite-key margin,0.3,0.03,0.0456829268292683,0.044815533625731,0.045700000000000005,0.04626627966448446,0.0014507460387534615,160
Full UVIF,0.3,0.03,,,,,,0
