shots,eta_c_conventional_mean,eta_c_conventional_sd,eta_c_uvif_mean,eta_c_uvif_sd,resource_force_mean
2000,0.05976850734806466,0.012505742601399977,,,1.3048610390538715
5000,0.06334257846101299,0.012644684712478961,,,0.4577172628378517
10000,0.0651511084468632,0.012759163447180933,,,0.030765192403050826
20000,0.06629785286019046,0.012639064237815635,,,0.0
