eta,attack,drift,shots,qber_obs_mean,qber_obs_sd,n_eff_mean,finite_key_margin_mean,finite_key_margin_sd,psi_mean,p_conventional_secure,p_conventional_transition,p_conventional_insecure,uvif_energy_mean,uvif_energy_sd,uvif_score_mean,p_uvif_stable,p_uvif_transition,p_uvif_unstable,risk_force_mean,uncertainty_force_mean,complexity_force_mean,resource_force_mean,leakage_force_mean,stability_reward_mean,dp_conventional_secure_deta,dp_uvif_stable_deta,d_uvif_score_deta,profile
0.01,0.1,0.005,10000,0.02960471070148489,0.0015439806314756187,9765.0,0.5822458295760152,0.015516325259568862,5.293143905236502,1.0,0.0,0.0,-0.07380272041270076,0.024143363910633802,0.5184397477375158,0.0,1.0,0.0,0.2691337336498627,0.011331935009085772,0.0038729858957265145,0.011961234531527198,0.09170353302611367,0.5242052805397107,0.0,0.0,-3.809660220446329,"a=0.10, d=0.005"
0.0135,0.1,0.005,10000,0.03301587301587302,0.0019948379981120463,9765.0,0.5485218168366311,0.019456898436182292,4.986561971242101,1.0,0.0,0.0,-0.020429415383601653,0.03116056760994602,0.5051059369659536,0.0,1.0,0.0,0.30014430014430016,0.012267704552074593,0.003985407066052227,0.011961234531527198,0.09426190476190477,0.4992710552615741,2.842170943040401e-14,0.0,-3.8702207353777425,"a=0.10, d=0.005"
0.017,0.1,0.005,10000,0.03653865847414234,0.0018387148487401255,9765.0,0.5146953634835186,0.017368894231020844,4.679048758941078,1.0,0.0,0.0,0.0346177702575831,0.02873607213359228,0.4913482025898715,0.0,1.0,0.0,0.3321696224922031,0.013204152704454025,0.003927593911268698,0.011961234531527198,0.09690399385560677,0.47348582377689463,-2.842170943040401e-14,0.0,-3.814996121665814,"a=0.10, d=0.005"
0.0205,0.1,0.005,10000,0.039853558627752174,0.0020728110594223402,9765.0,0.4838582878002772,0.019004335971311105,4.398711707275248,1.0,0.0,0.0,0.0864730173895138,0.03237595706028986,0.478400964114293,0.0,1.0,0.0,0.36230507843411075,0.01405584996885935,0.004008753805187316,0.011961234531527198,0.09939016897081415,0.44920022069618104,0.0,0.0,-3.9410633737429634,"a=0.10, d=0.005"
0.024,0.1,0.005,10000,0.04361597542242704,0.001847800423438097,9765.0,0.44979109744189105,0.01646991228087225,4.089009976744463,1.0,0.0,0.0,0.14524146414727185,0.028860675397331188,0.4637607589736708,0.0,1.0,0.0,0.3965088674766094,0.01499501579455565,0.003949327747447729,0.011961234531527198,0.10221198156682028,0.4216341620904736,0.0,0.0,-4.207720578995563,"a=0.10, d=0.005"
0.027500000000000004,0.1,0.005,10000,0.04743983614951357,0.0022097610210169006,9765.0,0.41625308533408395,0.01915758161609356,3.7841189575825807,1.0,0.0,0.0,0.20498617455371382,0.03450381168913659,0.44894692006132414,0.0,1.0,0.0,0.4312712377228506,0.015917712598773597,0.004032359726393299,0.011961234531527198,0.10507987711213516,0.39364813576290225,0.0,0.0,-3.8429379975210267,"a=0.10, d=0.005"
0.031,0.1,0.005,10000,0.05058166922683051,0.0021748202442643154,9765.0,0.38935395901714065,0.01837823150852527,3.53958144561037,1.0,0.0,0.0,0.25398725253924115,0.03390975688746159,0.43686019299102363,0.0,1.0,0.0,0.45983335660755015,0.016656695692974267,0.004013946934761121,0.011961234531527198,0.1074362519201229,0.37069643087387777,0.0,0.0,-3.636994213206073,"a=0.10, d=0.005"
0.0345,0.1,0.005,10000,0.05408499743983615,0.002227790808441267,9765.0,0.3600730131442743,0.01844201331810662,3.273391028584312,1.0,0.0,0.0,0.30856116624367635,0.03464464155169907,0.4234879605688817,0.0,1.0,0.0,0.49168179490760133,0.01746001686861353,0.004010521575223516,0.011961234531527198,0.11006374807987712,0.3451756140856198,0.0,0.0,-3.758780993320464,"a=0.10, d=0.005"
0.038,0.1,0.005,10000,0.05750844854070661,0.002031787105318347,9765.0,0.33210033661826105,0.016432877891109712,3.0190939692569168,1.0,0.0,0.0,0.3617847862099682,0.03152868354508279,0.41054872603778036,0.0,1.0,0.0,0.5228040776427875,0.018226517390785034,0.003967708979217373,0.011961234531527198,0.11263133640552996,0.3203296202156126,0.0,0.0,-3.668451509484065,"a=0.10, d=0.005"
0.0415,0.1,0.005,10000,0.06091858678955452,0.0022668028536753687,9765.0,0.30490593210415945,0.017879149836623337,2.771872110037813,1.0,0.0,0.0,0.4147287160020183,0.03511746125286944,0.39780880000249325,0.0,0.97,0.03,0.5538053344504958,0.01897077532446787,0.004027154168338664,0.011961234531527198,0.11518894009216592,0.29571051171228563,0.0,0.0,-3.79820800191888,"a=0.10, d=0.005"
