attack,drift,shots,eta_c_qber_threshold,eta_c_finite_key_margin,eta_c_conventional_psecure50,eta_c_conventional_boot_low,eta_c_conventional_boot_med,eta_c_conventional_boot_high,eta_c_conventional_boot_valid,eta_c_uvif_score50,eta_c_uvif_pstable50,eta_c_uvif_boot_low,eta_c_uvif_boot_med,eta_c_uvif_boot_high,eta_c_uvif_boot_valid,uvif_minus_conventional_boundary,max_abs_dp_conventional_deta,max_abs_dp_uvif_deta,max_abs_dscore_deta,eta_at_max_uvif_susceptibility,conventional_ci_width,uvif_ci_width,uvif_ci_narrower_than_conventional
0.05,0.005,10000,0.09290012499999999,0.08781914609105686,0.08755263157894737,0.08662724586288416,0.08753846153846154,0.08816666666666666,160,0.01889143404065175,,,,,0,,101.42857142857133,0.0,4.271471380857594,0.01,0.0015394208037824986,,False
0.1,0.005,10000,0.09035643564356434,0.0847308855380203,0.08418292682926828,0.08334774154589371,0.0842,0.08477350713012477,160,0.014798962379438443,,,,,0,,110.00000000000009,0.0,4.207720578995563,0.01,0.0014257655842310618,,False
0.15,0.005,10000,0.0878005617977528,0.08209629880831867,0.08178723404255318,0.08128029379157428,0.08178306595365419,0.08230006578947369,160,0.010119292302054791,,,,,0,,95.71428571428596,0.0,4.086507314582619,0.01,0.0010197719978994046,,False
0.2,0.005,10000,0.08444942816297353,0.07977553704493791,0.07893939393939393,0.07824867424242424,0.07892217432950191,0.08,160,,,,,,0,,94.28571428571438,0.0,4.0341935758751575,0.01,0.001751325757575764,,False
0.25,0.005,10000,0.08193344758640388,0.07652433363643919,0.076,0.0754431808859721,0.07597119565217392,0.07668911613272311,160,,,,,,0,,109.99999999999989,0.0,4.379845900137022,0.01,0.001245935246751012,,False
0.3,0.005,10000,0.07936101973684212,0.0741752410625144,0.0737,0.07275919001057082,0.0736826690821256,0.07440033653846154,160,,,,,,0,,100.00000000000011,0.0,3.90329011906595,0.01,0.0016411465278907134,,False
0.35,0.005,10000,0.07700247954376392,0.07078661379152203,0.07069512195121952,0.06990795206971678,0.07075000000000001,0.07121208333333334,160,,,,,,0,,98.57142857142875,0.0,4.134829123941174,0.01,0.0013041312636165592,,False
0.4,0.005,10000,0.07398854134406936,0.06850003088776958,0.06799019607843138,0.06762488425925926,0.06802222222222223,0.0684661516075388,160,,,,,,0,,102.85714285714279,0.0,3.911163481068078,0.01,0.0008412673482795369,,False
0.05,0.01,10000,0.0881897624434389,0.08188701147185497,0.08170930232558139,0.08125641025641026,0.08173349056603774,0.08222011413383364,160,0.01387931811921324,,,,,0,,98.57142857142877,0.0,4.101422592457503,0.01,0.0009637038774233803,,False
0.1,0.01,10000,0.0856475659229209,0.07903120558920582,0.07851063829787235,0.07803645198170732,0.07852815789473684,0.07896182432432433,160,,,,,,0,,98.57142857142853,0.0,4.1044910250903115,0.01,0.0009253723426170118,,False
0.15,0.01,10000,0.08290590778097984,0.07603907020790913,0.07591666666666666,0.07530647531347963,0.07590955284552844,0.0765990599593496,160,,,,,,0,,102.85714285714275,0.0,4.033672221777252,0.01,0.001292584645869968,,False
0.2,0.01,10000,0.08039189189189189,0.07355744867323301,0.07309210526315789,0.072337378003003,0.07309722222222222,0.07380784883720931,160,,,,,,0,,104.28571428571438,0.0,3.9798881492363236,0.01,0.0014704708342063166,,False
0.25,0.01,10000,0.07677177177177175,0.07060921886425701,0.07022058823529412,0.06923610795454546,0.0702,0.07086979578392623,160,,,,,,0,,97.14285714285725,0.0,3.9870661862534362,0.01,0.0016336878293807672,,False
0.3,0.01,10000,0.07485737660212707,0.06840733525269956,0.06790909090909092,0.06738541666666667,0.0679,0.0684232142857143,160,,,,,,0,,97.14285714285712,0.0,3.9282533684590604,0.01,0.0010377976190476257,,False
0.35,0.01,10000,0.07196115942028984,0.06585268170880905,0.06579411764705882,0.06501189024390244,0.065875,0.06667375,160,,,,,,0,,105.71428571428561,0.0,4.656700077653842,0.01,0.0016618597560975612,,False
0.4,0.01,10000,0.06897708280577361,0.06242396233645338,0.06174324324324324,0.06116865697674419,0.06178205128205128,0.06276266826923077,160,,,,,,0,,91.42857142857146,0.0,3.777900670823776,0.01,0.001594011292486583,,False
0.05,0.02,10000,0.07998553719008265,0.07112881477153367,0.0709,0.07049901960784315,0.0709,0.0712204074315515,160,,,,,,0,,108.57142857142888,0.0,4.015382814191803,0.01,0.0007213878237083554,,False
0.1,0.02,10000,0.07716893278604413,0.06829778497923356,0.06803488372093024,0.06751107954545456,0.06801923076923078,0.06854649209486166,160,,,,,,0,,101.42857142857146,0.0,4.109855148781452,0.01,0.0010354125494071026,,False
0.15,0.02,10000,0.07433934337997845,0.06512339755824217,0.06488297872340426,0.06447217958271237,0.06488148936170213,0.06534484375,160,,,,,,0,,102.85714285714275,0.0,4.209514090485712,0.01,0.0008726641672876373,,False
0.2,0.02,10000,0.07118821126349577,0.062312004940023015,0.06194736842105263,0.06133333333333334,0.061924549549549554,0.0629276716944801,160,,,,,,0,,98.57142857142858,0.0,3.7826895930140054,0.01,0.001594338361146766,,False
0.25,0.02,10000,0.06841701417848207,0.059882815746741334,0.059913043478260875,0.0593844696969697,0.05990870370370371,0.06038793103448276,160,,,,,,0,,110.00000000000004,0.0,3.7635289200814555,0.01,0.0010034613375130633,,False
0.3,0.02,10000,0.0657174840085288,0.05692639319123201,0.05711,0.05666666666666667,0.05714495798319328,0.057500312500000005,160,,,,,,0,,102.85714285714275,0.0,3.7535042517877955,0.01,0.0008336458333333338,,False
0.35,0.02,10000,0.06364813683567502,0.05463236449964906,0.05422727272727273,0.05378482142857143,0.05422727272727273,0.054780353299856525,160,,,,,,0,,97.1428571428572,0.0,3.7948410858680575,0.01,0.0009955318712850936,,False
0.4,0.02,10000,0.0602900576368876,0.051755414602608914,0.051231707317073175,0.050642757936507944,0.05124662162162162,0.052000000000000005,160,,,,,,0,,104.28571428571425,0.0,3.53495216418937,0.01,0.0013572420634920604,,False
0.05,0.03,10000,0.07081194829760401,0.05971529543932648,0.05916666666666667,0.05856040558510639,0.05921170212765958,0.05979322974472809,160,,,,,,0,,114.28571428571429,0.0,3.9481113863590664,0.01,0.0012328241596216982,,False
0.1,0.03,10000,0.06762777415143603,0.057093218465878184,0.05688372093023256,0.056373848684210526,0.0569177927927928,0.05734799288617886,160,,,,,,0,,97.14285714285711,0.0,4.016258258104806,0.01,0.0009741442019683341,,False
0.15,0.03,10000,0.06528924731182797,0.053997746076395355,0.053620370370370374,0.05327240909090909,0.0536271551724138,0.053952125000000004,160,,,,,,0,,104.28571428571439,0.0,4.49207873623295,0.01,0.0006797159090909111,,False
0.2,0.03,10000,0.06209309182813816,0.05196821232351243,0.051513888888888894,0.050905849847560976,0.05148529411764706,0.05227838225371121,160,,,,,,0,,100.0,0.0,4.055410294438019,0.01,0.0013725324061502342,,False
0.25,0.03,10000,0.059620364550597126,0.0491362504011846,0.0488,0.04793172800460035,0.048718750000000005,0.049464451013513516,160,,,,,,0,,94.28571428571428,0.0,3.6264537151659484,0.01,0.0015327230089131685,,False
0.3,0.03,10000,0.0567611607142857,0.04568268382567784,0.045262500000000004,0.0443975,0.045250000000000005,0.04592922077922078,160,,,,,,0,,101.42857142857144,0.0,3.563836059860469,0.01,0.0015317207792207785,,False
