attack,drift,decision_regime,n_eta_points,eta_min,eta_max,uvif_score_mean,finite_key_margin_mean,resource_force_mean
0.25,0.01,insecure_suspend_or_rekey,55,0.031,0.22,0.15684096722710691,-0.2642255230003103,0.029233711990772838
0.25,0.01,warning_reduce_risk,6,0.01,0.027500000000000004,0.4150768184020088,0.3791122756888365,0.029233711990772838
0.25,0.02,insecure_suspend_or_rekey,58,0.0205,0.22,0.1508337760302497,-0.29244372939814833,0.03528322752782431
0.25,0.02,warning_reduce_risk,3,0.01,0.017,0.39469417329929213,0.33160272152846093,0.03528322752782431
0.25,0.03,insecure_suspend_or_rekey,61,0.01,0.22,0.14516344294929995,-0.3200707851900524,0.041440684091783385
0.3,0.005,insecure_suspend_or_rekey,55,0.031,0.22,0.15820762778206285,-0.24902042726898505,0.031147041482910042
0.3,0.005,warning_reduce_risk,6,0.01,0.027500000000000004,0.4174191199457684,0.39820669047938245,0.031147041482910042
0.3,0.01,insecure_suspend_or_rekey,57,0.024,0.22,0.15728508108083802,-0.25759722647357763,0.03417537999003839
0.3,0.01,warning_reduce_risk,4,0.01,0.0205,0.4118180911564623,0.38433296298046954,0.03417537999003839
0.3,0.02,insecure_suspend_or_rekey,60,0.0135,0.22,0.15105613563758288,-0.2864321389165144,0.04031297322059867
0.3,0.02,warning_reduce_risk,1,0.01,0.01,0.3903157810097186,0.3343340153249259,0.04031297322059867
0.3,0.03,insecure_suspend_or_rekey,61,0.01,0.22,0.13811567243377199,-0.33366326347464775,0.046561155363965344
0.35,0.005,insecure_suspend_or_rekey,56,0.027500000000000004,0.22,0.1545962561041754,-0.2526449475256808,0.03611645360034865
0.35,0.005,warning_reduce_risk,5,0.01,0.024,0.40879049400386513,0.3914494033558419,0.03611645360034865
0.35,0.01,insecure_suspend_or_rekey,58,0.0205,0.22,0.15365726109809555,-0.2613891655252156,0.03918891781593148
0.35,0.01,warning_reduce_risk,3,0.01,0.017,0.4016135487216473,0.37418415196273164,0.03918891781593148
0.35,0.02,insecure_suspend_or_rekey,61,0.01,0.22,0.14784018585728184,-0.28958992160878444,0.045416746978633495
0.35,0.03,insecure_suspend_or_rekey,61,0.01,0.22,0.13126973215212703,-0.3473543973332539,0.05175790477917808
0.4,0.005,insecure_suspend_or_rekey,57,0.024,0.22,0.15121640822654914,-0.2559187358450969,0.041158412590706954
0.4,0.005,warning_reduce_risk,4,0.01,0.0205,0.3993924393627789,0.3830004316790529,0.041158412590706954
0.4,0.01,insecure_suspend_or_rekey,59,0.017,0.22,0.14996914228217653,-0.26543563238679624,0.044276084612790534
0.4,0.01,warning_reduce_risk,2,0.01,0.0135,0.3929167415597927,0.3673525006295104,0.044276084612790534
0.4,0.02,insecure_suspend_or_rekey,61,0.01,0.22,0.1404909491170045,-0.30376471387533005,0.05059638271883383
0.4,0.03,insecure_suspend_or_rekey,61,0.01,0.22,0.12478993577638706,-0.36064502168701673,0.05703284516337991
